d1,d2,d3,x,y,z,value,label,label_clean,Model,ROI_model
31,33,57,-4.84102585911751,-10.4110460281372,2.37500035762787,4.148,left Molecular Layer of the Cerebellum_left,left_molecular_layer_of_the_cerebellum_left_2,Pmod1_peaks,left_molecular_layer_of_the_cerebellum_left_2_Pmod1_peaks
35,20,24,-4.18461558222771,-12.5424413084984,-3.03017200529575,3.78,left Inferior Cerebellar Peduncle/Spinal Trigeminal Tract_left,left_inferior_cerebellar_peduncle_spinal_trigeminal_tract_left,Pmod1_peaks,left_inferior_cerebellar_peduncle_spinal_trigeminal_tract_left_Pmod1_peaks
57,171,65,-0.574359059333801,12.2145346403122,3.68534517288208,3.128,left Olfactory Bulb_left,left_olfactory_bulb_left,Pmod1_peaks,left_olfactory_bulb_left_Pmod1_peaks
54,128,44,-1.06666676700115,5.16453486680984,0.245690032839775,3.091,left Olfactory Bulb_left,left_olfactory_bulb_left_2,Pmod1_peaks,left_olfactory_bulb_left_2_Pmod1_peaks
94,77,53,5.49743600189686,-3.19709277153015,1.71982795000076,2.951,right Primary Auditory Cortex,right_primary_auditory_cortex,Pmod1_peaks,right_primary_auditory_cortex_Pmod1_peaks
62,135,68,0.24615378677845,6.31220924854279,4.17672447860241,2.806, Agranular Dysgranular Insular Cortex_left,agranular_dysgranular_insular_cortex_left_6,Pmod1_peaks,agranular_dysgranular_insular_cortex_left_6_Pmod1_peaks
16,95,33,-7.30256439745426,-0.245930075645447,-1.55603408813477,2.649, Agranular Dysgranular Insular Cortex_left,agranular_dysgranular_insular_cortex_left_7,Pmod1_peaks,agranular_dysgranular_insular_cortex_left_7_Pmod1_peaks
77,38,14,2.7076923251152,-9.59127861261368,-4.66810302436352,2.529, Agranular Dysgranular Insular Cortex_left,agranular_dysgranular_insular_cortex_left_8,Pmod1_peaks,agranular_dysgranular_insular_cortex_left_8_Pmod1_peaks
55,73,66,-0.902564197778702,-3.85290670394897,3.84913827478886,-8.938,left Retrosplenial Granular Cortex Part B_left,left_retrosplenial_granular_cortex_part_b_left,Pmod1_peaks,left_retrosplenial_granular_cortex_part_b_left_Pmod1_peaks
47,45,53,-2.2153847515583,-8.44360423088074,1.71982795000076,-7.788,left Molecular Layer of the Cerebellum_left,left_molecular_layer_of_the_cerebellum_left_3,Pmod1_peaks,left_molecular_layer_of_the_cerebellum_left_3_Pmod1_peaks
59,17,24,-0.246153920888901,-13.0343017578125,-3.03017200529575,-6.808,right Periventricular Grey,right_periventricular_grey,Pmod1_peaks,right_periventricular_grey_Pmod1_peaks
28,62,50,-5.33333356678486,-5.65639501810074,1.22844864428043,-6.79,left Subiculum_left,left_subiculum_left,Pmod1_peaks,left_subiculum_left_Pmod1_peaks
67,77,24,1.0666666328907,-3.19709277153015,-3.03017200529575,-6.76,right Hypothalamic Region,right_hypothalamic_region,Pmod1_peaks,right_hypothalamic_region_Pmod1_peaks
57,45,22,-0.574359059333801,-8.44360423088074,-3.35775820910931,-6.674,left Brainstem_left,left_brainstem_left,Pmod1_peaks,left_brainstem_left_Pmod1_peaks
87,56,47,4.34871801733971,-6.64011591672897,0.737069338560104,-6.557,right Perirhinal Area 36,right_perirhinal_area_36,Pmod1_peaks,right_perirhinal_area_36_Pmod1_peaks
80,30,46,3.20000003278255,-10.9029064774513,0.573276236653328,-6.24,right Molecular Layer of the Cerebellum,right_molecular_layer_of_the_cerebellum_3,Pmod1_peaks,right_molecular_layer_of_the_cerebellum_3_Pmod1_peaks
53,120,31,-1.2307693362236,3.8529070019722,-1.88362029194832,-5.795,left Basal Forebrain Region_left,left_basal_forebrain_region_left,Pmod1_peaks,left_basal_forebrain_region_left_Pmod1_peaks
24,86,67,-5.98974384367466,-1.7215114235878,4.01293137669563,-5.689,left Primary Somatosensory Cortex Barrel field_left,left_primary_somatosensory_cortex_barrel_field_left,Pmod1_peaks,left_primary_somatosensory_cortex_barrel_field_left_Pmod1_peaks
72,147,65,1.88717947900295,8.27965104579926,3.68534517288208,-5.255, Agranular Dysgranular Insular Cortex_left,agranular_dysgranular_insular_cortex_left_9,Pmod1_peaks,agranular_dysgranular_insular_cortex_left_9_Pmod1_peaks
58,22,54,-0.410256490111351,-12.214534342289,1.88362105190754,-5.249,right Molecular Layer of the Cerebellum,right_molecular_layer_of_the_cerebellum_4,Pmod1_peaks,right_molecular_layer_of_the_cerebellum_4_Pmod1_peaks
91,106,66,5.00512829422951,1.55755823850632,3.84913827478886,-5.202,right Primary Somatosensory Cortex Dysgranular,right_primary_somatosensory_cortex_dysgranular,Pmod1_peaks,right_primary_somatosensory_cortex_dysgranular_Pmod1_peaks
21,32,53,-6.48205155134201,-10.5749995112419,1.71982795000076,-5.025, Agranular Dysgranular Insular Cortex_left,agranular_dysgranular_insular_cortex_left_10,Pmod1_peaks,agranular_dysgranular_insular_cortex_left_10_Pmod1_peaks
89,124,44,4.67692315578461,4.50872093439102,0.245690032839775,-4.926,right Agranular Insular Cortex,right_agranular_insular_cortex,Pmod1_peaks,right_agranular_insular_cortex_Pmod1_peaks
76,115,18,2.54358975589275,3.03313958644867,-4.01293061673641,-4.857, Agranular Dysgranular Insular Cortex_left,agranular_dysgranular_insular_cortex_left_11,Pmod1_peaks,agranular_dysgranular_insular_cortex_left_11_Pmod1_peaks
22,31,25,-6.31794898211956,-10.738952994346599,-2.86637890338898,-4.835, Agranular Dysgranular Insular Cortex_left,agranular_dysgranular_insular_cortex_left_12,Pmod1_peaks,agranular_dysgranular_insular_cortex_left_12_Pmod1_peaks
73,102,50,2.0512820482254,0.901744306087494,1.22844864428043,-4.745,right Descending Corticofugal Pathways and Globus Pallidum,right_descending_corticofugal_pathways_and_globus_pallidum,Pmod1_peaks,right_descending_corticofugal_pathways_and_globus_pallidum_Pmod1_peaks
26,106,32,-5.66153870522976,1.55755823850632,-1.71982719004154,-4.725,left Entorhinal Cortex_left,left_entorhinal_cortex_left,Pmod1_peaks,left_entorhinal_cortex_left_Pmod1_peaks
98,87,21,6.15384627878666,-1.55755794048309,-3.52155131101608,-4.673, Agranular Dysgranular Insular Cortex_left,agranular_dysgranular_insular_cortex_left_13,Pmod1_peaks,agranular_dysgranular_insular_cortex_left_13_Pmod1_peaks
47,135,59,-2.2153847515583,6.31220924854279,2.70258656144142,-4.347,left Primary Motor Cortex_left,left_primary_motor_cortex_left,Pmod1_peaks,left_primary_motor_cortex_left_Pmod1_peaks
18,69,28,-6.97435925900936,-4.5087206363678,-2.37499959766865,-3.917,left Lateral Entorhinal Cortex Internal part_left,left_lateral_entorhinal_cortex_internal_part_left,Pmod1_peaks,left_lateral_entorhinal_cortex_internal_part_left_Pmod1_peaks
45,165,56,-2.5435898900032,11.230813741684,2.21120725572109,-3.465, Agranular Dysgranular Insular Cortex_left,agranular_dysgranular_insular_cortex_left_14,Pmod1_peaks,agranular_dysgranular_insular_cortex_left_14_Pmod1_peaks
68,152,41,1.23076920211315,9.09941846132278,-0.245689272880554,-2.822, Agranular Dysgranular Insular Cortex_left,agranular_dysgranular_insular_cortex_left_15,Pmod1_peaks,agranular_dysgranular_insular_cortex_left_15_Pmod1_peaks
